组室,部门
落车班,调试交付
调车班,调试交付
校线一班,调试交付
校线二班,调试交付
调试一班,调试交付
调试二班,调试交付
调试三班,调试交付
调试四班,调试交付
交车进程组,项目管理
生产管理组,项目管理
现场安全组,项目管理
计划管理组,项目管理
设备管理组,项目管理
总成进程组,项目管理
质量保证组,质量管理
交付质量组,质量管理
过程质量组,质量管理
粘接组,工艺技术
内装组,工艺技术
机械组,工艺技术
电气组,工艺技术
调试组,工艺技术
总体技术组,工艺技术
技术管理组,工艺技术
精益信息化组,工艺技术
检查班,质量管理
人力资源组,综合管理
经营计划组,综合管理
财务管理组,综合管理
行政管理组,综合管理
管钳一工位,总成组装
电工一工位,总成组装
内装一工位,总成组装
管钳三工位,总成组装
电工三工位,总成组装
内装三工位,总成组装
电工五工位,总成组装
粘接二工位,总成组装
粘接一工位,总成组装
设备工位,总成组装
电工四工位,总成组装
内装四工位,总成组装
车门工位,总成组装
生产进程组(总成）,总成组装
车内钳工班,总成组装
粘接综合班,总成组装
城轨总成车间,总成组装
内装一班,总成组装
线槽地板班,总成组装
内装二班,总成组装
车内电工班,总成组装
预组装班,总成组装
车外钳工班,总成组装
车外电工班,总成组装
城轨交车车间,调试交付
质量技术部,工艺技术
辅助班,项目管理
内装二工位,总成组装
项目工程部,项目管理
综合管理部,综合管理
管钳二工位,总成组装
生产管理组（总成）,总成组装
电气工程设计组,研发
